"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","230010011","2","19","ug/m3 SC","18","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/08/2018","AQS","230010011","2","15","ug/m3 SC","14","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/14/2018","AQS","230010011","2","10","ug/m3 SC","9","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/20/2018","AQS","230010011","2","15","ug/m3 SC","14","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/26/2018","AQS","230010011","2","21","ug/m3 SC","19","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/01/2018","AQS","230010011","2","12","ug/m3 SC","11","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/07/2018","AQS","230010011","2","20","ug/m3 SC","19","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/13/2018","AQS","230010011","2","17","ug/m3 SC","16","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/19/2018","AQS","230010011","2","27","ug/m3 SC","25","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/25/2018","AQS","230010011","2","12","ug/m3 SC","11","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/03/2018","AQS","230010011","2","16","ug/m3 SC","15","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/09/2018","AQS","230010011","2","7","ug/m3 SC","6","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/15/2018","AQS","230010011","2","10","ug/m3 SC","9","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/21/2018","AQS","230010011","2","17","ug/m3 SC","16","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/27/2018","AQS","230010011","2","24","ug/m3 SC","22","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/02/2018","AQS","230010011","2","57","ug/m3 SC","52","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","81102","PM10 Total 0-10um STP","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
